User,Products,Clicked?
22299,159,0.0
22393,159,0.0
22515,159,0.0
23360,159,0.0
24817,159,0.0
28426,159,0.0
28686,159,0.0
28800,159,0.0
30779,159,0.0
31348,159,0.0
31734,159,0.0
32451,159,0.0
35491,159,0.0
36765,159,0.0
36781,159,0.0
37231,159,0.0
39892,159,0.0
40182,159,0.0
41208,159,0.0
48032,159,0.0
52797,159,0.0
115024,159,0.0
128755,159,0.0
160541,159,0.0
281006,159,0.0
293680,159,0.0
342625,159,0.0
398935,159,0.0
398983,159,0.0
399566,159,0.0
249,182,0.0
362,182,0.0
567,182,1.0
815,182,0.0
919,182,0.0
1128,182,0.0
1465,182,0.0
1927,182,0.0
1955,182,0.0
2010,182,0.0
2280,182,0.0
2892,182,0.0
3580,182,0.0
4420,182,0.0
5083,182,0.0
5147,182,0.0
6690,182,0.0
6704,182,0.0
6810,182,0.0
6994,182,0.0
7021,182,0.0
7965,182,0.0
8566,182,0.0
9108,182,0.0
9469,182,0.0
9673,182,0.0
13405,182,0.0
13886,182,0.0
15282,182,0.0
15686,182,0.0
15773,182,0.0
16081,182,0.0
16672,182,0.0
17982,182,0.0
18121,182,0.0
18898,182,0.0
19045,182,0.0
19359,182,0.0
19435,182,0.0
19489,182,0.0
19731,182,0.0
21015,182,0.0
21594,182,0.0
22299,182,0.0
22393,182,0.0
22515,182,0.0
23360,182,0.0
24817,182,0.0
28426,182,0.0
28686,182,0.0
28800,182,0.0
30779,182,0.0
31348,182,0.0
31734,182,0.0
32451,182,0.0
35491,182,0.0
36765,182,0.0
36781,182,0.0
37231,182,0.0
39892,182,0.0
40182,182,0.0
41208,182,0.0
48032,182,0.0
52797,182,0.0
115024,182,0.0
128755,182,0.0
160541,182,0.0
281006,182,0.0
293680,182,0.0
342625,182,0.0
398935,182,0.0
398983,182,0.0
399566,182,0.0
249,184,0.0
362,184,0.0
567,184,1.0
815,184,0.0
919,184,0.0
1128,184,0.0
1465,184,0.0
1927,184,0.0
1955,184,0.0
2010,184,0.0
2280,184,0.0
2892,184,0.0
3580,184,0.0
4420,184,0.0
5083,184,0.0
5147,184,0.0
6690,184,0.0
6704,184,0.0
6810,184,0.0
6994,184,0.0
7021,184,0.0
7965,184,0.0
8566,184,0.0
9108,184,0.0
9469,184,0.0
9673,184,0.0
13405,184,0.0
13886,184,0.0
15282,184,0.0
15686,184,0.0
15773,184,0.0
16081,184,0.0
16672,184,0.0
17982,184,0.0
18121,184,0.0
18898,184,0.0
19045,184,0.0
19359,184,0.0
19435,184,0.0
19489,184,0.0
19731,184,0.0
21015,184,0.0
21594,184,0.0
22299,184,0.0
22393,184,0.0
22515,184,0.0
23360,184,0.0
24817,184,0.0
28426,184,0.0
28686,184,0.0
28800,184,0.0
30779,184,0.0
31348,184,0.0
31734,184,0.0
32451,184,0.0
35491,184,0.0
36765,184,0.0
36781,184,0.0
37231,184,0.0
39892,184,0.0
40182,184,0.0
41208,184,0.0
48032,184,0.0
52797,184,0.0
115024,184,0.0
128755,184,0.0
160541,184,0.0
281006,184,0.0
293680,184,0.0
342625,184,0.0
398935,184,0.0
398983,184,0.0
399566,184,0.0
249,213,0.0
362,213,0.0
567,213,0.0
815,213,1.0
919,213,0.0
1128,213,0.0
1465,213,0.0
1927,213,0.0
1955,213,0.0
2010,213,0.0
2280,213,0.0
2892,213,0.0
3580,213,0.0
4420,213,0.0
5083,213,1.0
5147,213,0.0
6690,213,0.0
6704,213,0.0
6810,213,0.0
6994,213,0.0
7021,213,1.0
7965,213,0.0
8566,213,0.0
9108,213,0.0
9469,213,0.0
9673,213,0.0
13405,213,1.0
13886,213,0.0
